ID_SINALIZACAO_SEMAFORICA;COD_SINALIZACAO_SEMAFORICA;NOME;TP_TRAVESSIA_PEDESTRE;BOTOEIRA;BOTOEIRA_SONORA;LACO_DETECTOR_VEICULAR;QTD_TR_C_FOCO;QTD_TR_S_FOCO;GEOMETRIA
871;S8037;BARAO HOMEM DE MELO - GODOFREDO DOS SANTOS;Travessia Incompleta;Não;Não;Não;1;0;POINT (608436.11 7792297.86)
872;S8038;BARAO HOMEM DE MELO - JACAREPAGUA;Travessia sem Foco de Pedestre;Não;Não;Não;0;2;POINT (607507.26 7794971.60)
874;S8040;BARAO HOMEM DE MELO - MARIA MACEDO;Travessia sem Foco de Pedestre;Não;Não;Não;0;3;POINT (607581.30 7795420.99)
875;S8041;BARAO HOMEM DE MELO - NILO ANTONIO GAZIRE;Travessia Incompleta;Não;Não;Não;5;1;POINT (608357.68 7792504.14)
876;S8042;BARAO HOMEM DE MELO - ONZE DE AGOSTO;Travessia Incompleta;Não;Não;Não;3;1;POINT (608131.21 7793113.76)
877;S8043;BARAO HOMEM DE MELO - PAULO FREIRE ARAUJO;Travessia sem Foco de Pedestre;Não;Não;Sim;0;2;POINT (608903.87 7792056.85)
878;S8044;BARAO HOMEM DE MELO - PROFESSOR JORGE LAGE;Travessia Incompleta;Não;Não;Sim;2;0;POINT (608611.40 7792081.70)
879;S8045;BARAO HOMEM DE MELO - SILVA LOBO;Travessia Incompleta;Não;Não;Não;4;1;POINT (607604.60 7795510.67)
880;S8046;BARAO HOMEM DE MELO - TIBIRI?A;Travessia Incompleta;Não;Não;Não;3;0;POINT (607844.90 7793934.80)
881;S8047;BARAO HOMEM DE MELO - UPA;Somente Pedestre;Sim;Não;Não;2;0;POINT (607961.81 7793663.69)
882;S8048;BERNARDINO DE LIMA - GENERAL ANDRADE NEVES;Travessia Incompleta;Não;Não;Não;2;1;POINT (608700.63 7795778.52)
883;S8117;TEREZA CRISTINA - FAUSTO ALVIM;Travessia Incompleta;Não;Não;Não;2;1;POINT (606445.11 7796217.56)
884;S8050;CAMPOS ELISIOS - ARISTOTELES CALDEIRA;Travessia Incompleta;Não;Não;Não;1;1;POINT (608221.62 7795663.56)
885;S8051;CAMPOS ELISIOS - RIO NEGRO;Travessia Incompleta;Não;Não;Não;2;1;POINT (608290.59 7795681.49)
886;S4061;TANCREDO NEVES - ENGENHEIROS;Travessia Incompleta;Não;Não;Não;2;2;POINT (605405.70 7799946.87)
887;S8053;CONDE PEREIRA CARNEIRO (HOSPITAL GALBA VELOSO);Travessia Incompleta;Não;Não;Não;3;1;POINT (606059.56 7796138.38)
888;S4062;ISABEL BUENO - CORREIOS (PASSAGEM DE PEDESTRE);Somente Pedestre;Não;Não;Não;2;0;POINT (609927.91 7803034.18)
889;S8055;DIABASE - ERE;Travessia Total;Não;Não;Não;6;0;POINT (608799.83 7796840.96)
890;S8056;DIABASE - PLATINA;Travessia Incompleta;Não;Não;Não;3;1;POINT (608763.52 7796698.98)
891;S4067;TANCREDO NEVES - MARIA CLARA TAVARES;Travessia Total;Não;Não;Não;6;0;POINT (605499.67 7801864.00)
892;S8058;DOM JOAO VI - URSULA PAULINO;Travessia Incompleta;Não;Não;Não;1;3;POINT (606092.83 7792964.56)
893;S8059;FRANCISCO SA - ANDRE CAVALCANTI;Travessia Parcial;Não;Não;Não;4;0;POINT (608971.43 7795654.70)
894;S8060;FRANCISCO SA - CUIABA;Travessia Incompleta;Não;Não;Não;1;2;POINT (608871.65 7796089.10)
895;S8061;FRANCISCO SA - GENERAL DIONISIO CERQUEIRA;Travessia Incompleta;Não;Não;Não;1;1;POINT (608893.70 7795364.10)
896;S8062;FRANCISCO SA - LUDGERO DOLABELA;Travessia Incompleta;Não;Não;Não;2;1;POINT (608918.92 7795460.33)
897;S8063;FRANCISCO SA - PLATINA;Travessia sem Foco de Pedestre;Não;Não;Não;0;4;POINT (608933.42 7796651.11)
898;S8064;FRANCISCO SA - TURQUESA;Travessia Incompleta;Não;Não;Não;1;2;POINT (608881.17 7796185.31)
899;S8065;GENERAL DIONISIO CERQUEIRA - OSCAR TROMPOWSKI;Travessia Incompleta;Não;Não;Não;2;0;POINT (608749.21 7795402.86)
900;S8066;HERCULANO FREITAS - ALMIRANTE ALEXANDRINO;Travessia Total;Não;Não;Não;4;0;POINT (609208.11 7795487.12)
901;S8067;JOSAFA BELO - SINVAL DE SA;Somente Pedestre;Não;Não;Não;1;0;POINT (609740.82 7795148.68)
902;S8141;TEREZA CRISTINA - SANTO ANTONIO DO AMPARO;Travessia Parcial;Não;Não;Não;5;0;POINT (606428.49 7793692.34)
903;S8069;JOSE RODRIGUES PEREIRA - ENG. CARLOS GOULART;Travessia Parcial;Não;Sim;Não;5;0;POINT (608586.30 7791567.72)
904;S8070;JOSE RODRIGUES PEREIRA - SEBASTIAO STOKLER;Travessia sem Foco de Pedestre;Não;Não;Sim;0;0;POINT (608915.71 7791634.76)
905;S8071;LAGOA DA PRATA - MAGI SALOMON;Travessia Total;Não;Não;Sim;4;0;POINT (606420.12 7794752.52)
906;S8072;OLINDA - INSTITUTO CORACAO DE JESUS;Somente Pedestre;Sim;Não;Não;1;0;POINT (607312.37 7795821.77)
907;S8073;PAULO PIEDADE CAMPOS - GODOFREDO DOS SANTOS;Travessia Incompleta;Não;Não;Não;1;0;POINT (608264.30 7792213.35)
908;S8074;PLATINA (SUPERMERCADO CHAMPION);Somente Pedestre;Não;Não;Não;1;0;POINT (607609.97 7796445.97)
909;S8075;PLATINA - MONSENHOR DOMINGOS PINHEIRO;Somente Pedestre;Sim;Não;Não;1;1;POINT (608035.44 7796844.40)
910;S8076;PLATINA - SALVADOR PILO (EXTREMA);Travessia Incompleta;Não;Não;Não;1;1;POINT (607787.79 7796614.76)
